True_M_S,True_M_S_M_U_Ratio,Input_M_S,Input_M_S_M_U_Ratio,True_IRI,Est_IRI,Est_IRI_Wrong_Parameter
112.0,4.0,208,7.429,8.59272447570084,8.416858249989188,17.6653447861427
112.0,4.0,208,7.429,6.119409915540167,6.034784786571252,12.85871260186821
112.0,4.0,208,7.429,9.202490771294398,9.051542806975824,19.349822253303504
112.0,4.0,208,7.429,8.708751858985133,8.5588886560723,18.17897059245824
112.0,4.0,208,7.429,7.756599472928511,7.628066264511674,16.101294780382037
112.0,4.0,208,7.429,7.034859192038396,6.877581447423329,14.667479200424054
112.0,4.0,208,7.429,7.721921471038906,7.546296035380347,16.232477145394398
112.0,4.0,208,7.429,8.549257396575253,8.340794285309443,17.67607475553643
112.0,4.0,208,7.429,8.976005853554874,8.795106517216446,18.63334558344334
112.0,4.0,208,7.429,8.077949204654352,7.9250191102114655,16.606946661053495
112.0,4.0,208,7.429,8.828930897974965,8.662819927796216,18.384579755685426
112.0,4.0,208,7.429,8.489550366144636,8.305872170955976,17.706505295336733
112.0,4.0,208,7.429,8.075969292713214,7.89581257349522,16.94582113422457
112.0,4.0,208,7.429,7.9076031330728425,7.741881750661067,16.34101181287409
112.0,4.0,208,7.429,8.003751348359506,7.820197858439646,16.716136271882384
112.0,4.0,208,7.429,8.11506501421495,7.93650918093272,17.164895851412265
112.0,4.0,208,7.429,7.115621411705112,6.96414678494574,15.064870455462021
112.0,4.0,208,7.429,6.875847858874166,6.781330670515654,14.189741269831451
112.0,4.0,208,7.429,7.41219230002382,7.284370892751463,15.489752231909511
112.0,4.0,208,7.429,8.551820827782509,8.381843057323582,17.57110808961673
112.0,4.0,208,7.429,7.570049663959958,7.444494318609974,16.26132053261687
112.0,4.0,208,7.429,7.071235108418641,6.936910276896123,14.626866324057682
112.0,4.0,208,7.429,9.473282011385349,9.264737460416987,19.73731447255619
112.0,4.0,208,7.429,6.693958347551518,6.554307086924314,14.026619535769493
112.0,4.0,208,7.429,7.378930348965102,7.2556508320289,15.446290182961985
112.0,4.0,208,7.429,7.6136050657021554,7.48646254732918,15.758122343655298
112.0,4.0,208,7.429,7.295109892985118,7.197467997814282,15.26538812392873
112.0,4.0,208,7.429,8.125610664303052,8.010878933911316,17.05576296795319
112.0,4.0,208,7.429,8.110604637190185,7.947489993105281,16.568161127066983
112.0,4.0,208,7.429,8.018554292995736,7.888826293450631,16.782844060654913
126.0,4.5,208,7.429,1.4984385497408048,1.4550027372034886,2.6884756371520826
126.0,4.5,208,7.429,2.279540585967038,2.227291321603689,4.185783135996081
126.0,4.5,208,7.429,1.6751391673259255,1.6349042556717217,3.100832238892988
126.0,4.5,208,7.429,1.2569876578833425,1.2314123324805029,2.3386534065417557
126.0,4.5,208,7.429,2.049177959953141,2.0193023005019746,3.7037205462964526
126.0,4.5,208,7.429,0.22517448138928273,0.21963194586961224,0.4140872235371843
126.0,4.5,208,7.429,0.8396407156589245,0.8242963599700042,1.5446792554421913
126.0,4.5,208,7.429,0.7834269668774204,0.7712399344825994,1.4411068308643236
126.0,4.5,208,7.429,1.538985897603219,1.5109936405516318,2.8641506060423887
126.0,4.5,208,7.429,1.5569655451304643,1.5218190719806806,2.8717770072196944
126.0,4.5,208,7.429,1.7132709774525456,1.6775300851822446,3.1907415513119535
126.0,4.5,208,7.429,2.2836228640326435,2.2288266959030407,4.176207957616297
126.0,4.5,208,7.429,2.5538988559897553,2.506932675650007,4.65698502125666
126.0,4.5,208,7.429,2.1656770025793604,2.1082381907838164,3.9806484622602936
126.0,4.5,208,7.429,1.2994428790136436,1.2740787442880042,2.393120977268616
126.0,4.5,208,7.429,2.48141198664964,2.4329507960875,4.543631889281967
